Super Mario Bros. (NES, 1985)
The Legend of Zelda (NES, 1986)
Pac-Man (Arcade, 1980)
Tetris (Various platforms, 1984)
Donkey Kong (Arcade, 1981)
Sonic the Hedgehog (Sega Genesis, 1991)
Street Fighter II (Arcade, 1991)
Super Metroid (SNES, 1994)
Final Fantasy VI (SNES, 1994)
Mega Man 2 (NES, 1988)
Castlevania (NES, 1986)
Metroid (NES, 1986)
Contra (NES, 1987)
Space Invaders (Arcade, 1978)
Galaga (Arcade, 1981)
Duck Hunt (NES, 1984)
